DISTRICT,LATITUDE,LONGITUDE,VENUE,VENUE LATITUDE,VENUE LONGITUDE,VENUE CATEGORY
CENTRO,40.4115165,-3.7076445,Taberna Badila,40.411776724089535,-3.703688928833252,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,La China Mandarina,40.41035077046774,-3.707418488951897,Café
CENTRO,40.4115165,-3.7076445,La Nieta Carmela,40.41055144149123,-3.7103027088945604,Snack Place
CENTRO,40.4115165,-3.7076445,López & López,40.40949877800912,-3.7040456799697785,Pizza Place
CENTRO,40.4115165,-3.7076445,Federal Café 2,40.41445972417601,-3.7087736699569414,Café
CENTRO,40.4115165,-3.7076445,Botín,40.41401880132313,-3.708135518254039,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Taberna El Buo,40.41133282498083,-3.7104427441233305,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,wild marlin,40.412777,-3.709626,Gastropub
CENTRO,40.4115165,-3.7076445,Atelier Cafè De La Llana,40.40921543710092,-3.705664564403512,Café
CENTRO,40.4115165,-3.7076445,Casa Dani,40.40923486655367,-3.7110553920231495,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Xentes,40.40998159530203,-3.710378455989174,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Buhoa & Lounge,40.41150456705449,-3.710179696169093,Gastropub
CENTRO,40.4115165,-3.7076445,ADORADO,40.410529,-3.704728,Diner
CENTRO,40.4115165,-3.7076445,Casa Amadeo - Los Caracoles,40.41053814682712,-3.707306654698466,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Malacatín,40.410377702680606,-3.7076286397305664,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Mesón del Champiñón,40.414956249703074,-3.7082325358687616,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Gustos Madrid - Plaza Mayor,40.41502,-3.707985,Mediterranean Restaurant
CENTRO,40.4115165,-3.7076445,La Chusquery,40.412229741330215,-3.711640374277176,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Café Bar Delic,40.41273870787581,-3.711678450125613,Café
CENTRO,40.4115165,-3.7076445,La Pasa,40.41416768267163,-3.7087765073739543,Food
CENTRO,40.4115165,-3.7076445,Bar Eduardo,40.40912479062481,-3.7101398754000843,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Viva Burger,40.41263019326825,-3.7116827479753303,Vegetarian / Vegan Restaurant
CENTRO,40.4115165,-3.7076445,María La Portuguesa,40.414328314755565,-3.7072991709627536,Bakery
CENTRO,40.4115165,-3.7076445,Lorena,40.41130902630889,-3.7089456998835444,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Mama Juana GastroPub,40.410986,-3.710814,Gastropub
CENTRO,40.4115165,-3.7076445,Las Carboneras,40.4147390164281,-3.709163775741937,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Taberna Almendro 13,40.41253841254097,-3.71004547721055,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Mamúa Café Bar,40.41029576310337,-3.7073277085748924,Pizza Place
CENTRO,40.4115165,-3.7076445,Bar La Campana,40.414881954231625,-3.706774570000363,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Martina Cocina,40.41032642228989,-3.707408124939636,Bistro
CENTRO,40.4115165,-3.7076445,El Bombín de Sabina,40.410267960621866,-3.711838411130233,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Majareta,40.412453,-3.71016,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Bar Restaurante Urumea II,40.410804979813925,-3.710189073481454,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Takos Al Pastor,40.41479468534335,-3.7067462773092226,Mexican Restaurant
CENTRO,40.4115165,-3.7076445,El Arrozal,40.41372638929047,-3.711085754650266,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Asador de pollos Navarro,40.40986932309679,-3.709042447536196,Fast Food Restaurant
CENTRO,40.4115165,-3.7076445,Sublime Dreams Food,40.413807,-3.70693,Burger Joint
CENTRO,40.4115165,-3.7076445,AlliOli Valencian Food,40.40821064050779,-3.708534836769104,Paella Restaurant
CENTRO,40.4115165,-3.7076445,Taberna de Antonio Sánchez,40.41110948925817,-3.70487964669174,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,La Musa Latina,40.41283455101768,-3.7117671604527014,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,Vietnam Express Restaurante,40.4130309,-3.703946299999984,Vietnamese Restaurant
CENTRO,40.4115165,-3.7076445,Restaurante Emma y Julia,40.412548866196914,-3.7089612913940404,Gluten-free Restaurant
CENTRO,40.4115165,-3.7076445,Grill Stop,40.41201,-3.7077308,Burger Joint
CENTRO,40.4115165,-3.7076445,La Cebada Casa Antonio,40.410678326209705,-3.709581418098703,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Los Galayos,40.41487373413806,-3.7067395869671533,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,La Malaje,40.41287920394429,-3.7032834351854254,Tapas Restaurant
